 ,RITZ,Triscuits,Bold N Baked,Bear Paws Crackers,Wheat Thins,Goldfish,Keebler Townhouse,Cheez It
1wk Mar 23 2019,1285138.00,812807.00,0.00,71067.00,453091.00,1911054.00,99668.00,0.00
1wk Mar 30 2019,1280520.00,808578.00,0.00,76605.00,459925.00,1551891.00,82478.00,0.00
1wk Apr 06 2019,1494492.00,915663.00,0.00,98994.00,529299.00,1608517.00,113572.00,0.00
1wk Apr 13 2019,1397681.00,879377.00,0.00,82124.00,499002.00,1522572.00,175826.00,0.00
1wk Apr 20 2019,1656408.00,1051128.00,0.00,83869.00,585600.00,1461642.00,234059.00,0.00
1wk Apr 27 2019,1233121.00,717784.00,0.00,69898.00,402845.00,1249081.00,178957.00,0.00
1wk May 04 2019,1385241.00,832395.00,0.00,78745.00,479541.00,1522935.00,171295.00,0.00
1wk May 11 2019,1287529.00,802140.00,0.00,63343.00,454591.00,1718882.00,154648.00,0.00
1wk May 18 2019,1395847.00,824880.00,0.00,72502.00,470877.00,1726864.00,160812.00,0.00
1wk May 25 2019,1360786.00,827607.00,0.00,69522.00,461826.00,1616964.00,150112.00,0.00
1wk June 01 2019,1398812.00,770999.00,0.00,79289.00,441167.00,1782489.00,147497.00,0.00
1wk June 08 2019,1396552.00,850326.00,0.00,73648.00,492068.00,1737997.00,136565.00,0.00
1wk June 15 2019,1397323.00,855404.00,0.00,102162.00,475794.00,1620138.00,139300.00,0.00
1wk June 22 2019,1371333.00,875374.00,0.00,97096.00,494349.00,1521916.00,155211.00,0.00
1wk June 29 2019,1405577.00,887129.00,0.00,78946.00,500169.00,1387839.00,169082.00,0.00
1wk July 06 2019,1274512.00,903540.00,0.00,83823.00,488134.00,1279504.00,146821.00,0.00
1wk July 13 2019,1298136.00,846593.00,0.00,69600.00,482572.00,1380034.00,165778.00,0.00
1wk July 20 2019,1304876.00,865623.00,0.00,69293.00,496655.00,1394031.00,189423.00,0.00
1wk July 27 2019,1229119.00,827837.00,0.00,71045.00,484193.00,1367410.00,176284.00,0.00
